id,acc_test,acc_region,sample_size,test_size,activation,solver,hidden_layer_sizes,max_iter,TP,FP,FN,TN,accuracy,recall,specificity,precision
17_02_2022-14_15,0.9328036884621247,0.9533937761519977,314925,104976,relu,adam,"(100, 200, 100, 100)",209807,7630,11940,190524,95.33937761519977,94.61548521513257,96.14945951128921,96.49093760491544
18_02_2022-09_42,0.9346,0.8002505352452126,40000,10000,relu,adam,"(100, 200, 100, 100)",158625,20753,63122,177401,80.02505352452125,71.53422594217734,89.52683266550258,88.43057677084147
18_02_2022-09_51,0.9287,0.8147277572570677,40000,10000,relu,adam,"(100,)",168686,24735,53061,173419,81.47277572570677,76.07137864322854,87.51728453626977,87.2118332549206
18_02_2022-11_34,0.9256,0.8094407967592361,40000,10000,relu,adam,"(100, 100, 100)",500,159350,17619,62397,180535,80.9440796759236,71.86117512300054,91.1084308164357,90.04401900897896

18_02_2022-12_04,0.9316510440481633,0.9447488812839216,314925,104976,relu,adam,"(100, 100, 100)",500,210512,11965,11235,186189,94.47488812839217,94.9334151082089,93.96176711042926,94.62191597333657

18_02_2022-12_37,0.9299649443682365,0.9440868204648238,314925,104976,relu,adam,"(100, 100, 100)",700,211710,13441,10037,184713,94.40868204648238,95.47367044424502,93.216891912351,94.03022860213812
18_02_2022-16_20,0.9316510440481633,0.9447488812839216,314925,104976,relu,adam,"(100, 100, 100)",500,210512,11965,11235,186189,94.47488812839217,94.9334151082089,93.96176711042926,94.62191597333657

19_02_2022-07_59,0.9190672153635117,0.9326722251197306,314925,104976,relu,adam,"(100, 100, 100)",500,210167,16691,11580,181463,93.26722251197306,94.7778323945758,91.57675343419764,92.64253409621878

19_02_2022-08_26,0.9280883249504649,0.9412075703558695,314925,104976,relu,adam,"(100, 100, 100)",500,212733,15673,9014,182481,94.12075703558696,95.93500701249621,92.0904952713546,93.13809619712266

19_02_2022-09_41,0.9363473555860388,0.9636152331144722,314925,104976,relu,adam,"(100, 200, 100, 100, 100)",500,214194,7725,7553,190429,96.36152331144721,96.59386598240337,96.10151700192779,96.5190001757398

19_02_2022-10_25,0.9377667276329827,0.9634890128863708,314925,104976,relu,adam,"(100, 200, 100, 100, 100)",500,214737,8321,7010,189833,96.34890128863708,96.83873964473025,95.80074083793413,96.26958010920926

19_02_2022-11_26,0.9234396433470508,0.9543487631608403,314925,104976,relu,adam,"(100, 200, 100, 100, 100)",500,213370,10792,8377,187362,95.43487631608403,96.22227132723329,94.5537309365443,95.18562468214952

19_02_2022-11_35,0.9358,0.8174855501653961,40000,10000,relu,adam,"(100, 200, 100, 100, 100)",500,164567,19458,57180,178696,81.74855501653961,74.21385633176548,90.18036476679754,89.42643662545849

19_02_2022-12_42,0.9369570187471422,0.9633747002269583,314925,104976,relu,adam,"(100, 200, 100, 100, 100, 100)",500,213640,7272,8107,190882,96.33747002269583,96.34403171181572,96.3301270728827,96.70819149706671
